question_external_id,text,is_correct,sort_order
CDL-AB-0039,made up of powerful springs that are held back by air pressure while you are driving.,0,1
CDL-AB-0039,"not going to take full effect until your psi drops to a certain range, typically 20 to 30 psi.",0,2
CDL-AB-0039,all of the above.,1,3
CDL-AB-0040,only the parking brakes,0,0
CDL-AB-0040,parts of the service brakes and parking brakes,1,1
CDL-AB-0040,only the service brakes,0,2
CDL-AB-0041,a loss of brake air pressure.,1,0
CDL-AB-0041,a buildup of brake air pressure.,0,1
CDL-AB-0041,no change in brake air pressure.,0,2
CDL-AB-0042,Only when driving downhill,0,0
CDL-AB-0042,Never,1,1
CDL-AB-0042,Only on a slippery road,0,2
CDL-AB-0043,the brake feels spongy when you apply pressure.,0,0
CDL-AB-0043,you release the brake pedal and your speed increases.,0,1
CDL-AB-0043,you have to press the brake pedal harder than usual to control your speed.,1,2
CDL-AB-0044,a yellow lamp on the left side.,1,0
CDL-AB-0044,a white lamp on the left side.,0,1
CDL-AB-0044,a white lamp on the right side.,0,2
CDL-AB-0045,Disconnecting the steering axle brakes will help keep your vehicle in a straight-line during emergency braking.,0,0
CDL-AB-0045,Don't lock the wheels for longer than an instant.,1,1
CDL-AB-0045,Never do it without downshifting first.,0,2
CDL-AB-0046,lock the wheels for short periods of time.,0,0
CDL-AB-0046,can turn sharply.,0,1
CDL-AB-0046,brake in a straight line.,1,2
CDL-AB-0047,The brakes could heat up.,0,0
CDL-AB-0047,The brakes could lock up.,0,1
CDL-AB-0047,The brakes could fail.,1,2
CDL-AB-0048,"It is shaped like the letter ""S.""",1,0
CDL-AB-0048,It makes the brake shoes move in an S-shaped path.,0,1
CDL-AB-0048,It is constantly spinning whenever the wheel is spinning.,0,2
CDL-AB-0049,"stop the vehicle, put it in low gear, depress the brake pedal, and then gently pull against the brakes.",0,0
CDL-AB-0049,brake firmly while slowly moving forward.,1,1
CDL-AB-0049,brake firmly while slowly moving backward.,0,2
CDL-AB-0050,Never,1,0
CDL-AB-0050,If you will only be away from the truck for a few minutes,0,1
CDL-AB-0050,If you will be conducting your pre-trip inspection,0,2
CDL-AB-0051,Release the spring brakes to move a short distance.,1,0
CDL-AB-0051,Apply more brake pressure if the main tank is getting low.,0,1
CDL-AB-0051,Stay parked without using up service air pressure.,0,2
CDL-AB-0052,Worn 1/32 of an inch.,0,0
CDL-AB-0052,Against the drum.,1,1
CDL-AB-0052,Disconnected from the slack adjusters.,0,2
CDL-AB-0052,Worn dangerously thin.,0,3
CDL-AB-0053,You must push harder on the brake pedal to control your speed on a downgrade.,1,0
CDL-AB-0053,The brake feels spongy when pressure is applied.,0,1
CDL-AB-0053,Pressure on the brake pedal is released and speed increases.,0,2
CDL-AB-0054,Has been used on the trip.,0,0
CDL-AB-0054,Is in the air tanks.,0,1
CDL-AB-0054,Is being applied to the brakes.,1,2
CDL-AB-0055,The tractor protection valve,0,0
CDL-AB-0055,The emergency relay valve,0,1
CDL-AB-0055,The one-way check valve,1,2
CDL-AB-0056,The low boiling point of water reduces braking power.,0,0
CDL-AB-0056,Water can freeze in cold weather and cause brake failure.,1,1
CDL-AB-0056,Water over cools the compressor.,0,2
CDL-AB-0057,Air pressure,1,0
CDL-AB-0057,Spring pressure,0,1
CDL-AB-0057,Centrifugal force,0,2
CDL-AB-0058,1/8,0,0
CDL-AB-0058,1/4,0,1
CDL-AB-0058,1/2,1,2
CDL-AB-0059,5 psi for single vehicles and 6 psi for combination vehicles.,0,0
CDL-AB-0059,5 psi for single vehicles and 10 psi for combination vehicles.,0,1
CDL-AB-0059,3 psi for single vehicles and 4 psi for combination vehicles.,1,2
CDL-AB-0059,1 psi for single vehicles and 3 psi for combination vehicles.,0,3
CDL-AB-0060,They work as a supplement to the braking effect of your engine.,1,0
CDL-AB-0060,Not applicable; no braking effect is involved in a downgrade.,0,1
CDL-AB-0060,They work as the main braking mechanism.,0,2
CDL-AB-0060,They work as the main braking mechanism with the engine braking effect as an emergency backup.,0,3
CDL-AB-0061,"Accelerate, then brake hard.",0,0
CDL-AB-0061,Use gloves and pull hard on each slack adjuster you can reach.,1,1
CDL-AB-0061,Press the brake pedal while listening for any strange noises.,0,2
CDL-AB-0061,All of the above will work.,0,3
CDL-AB-0062,applies the brakes during normal driving.,0,0
CDL-AB-0062,lets the air out of the brake chambers.,1,1
CDL-AB-0062,applies the brakes in the event of an emergency.,0,2
CDL-AB-0063,it may lead to sudden emergency braking in a single-circuit air system.,1,0
CDL-AB-0063,"you may lose air pressure, but at least you'll know about it anyway.",0,1
CDL-AB-0063,neither of the above will happen.,0,2
CDL-AB-0064,The manual slack adjusters will not be set properly.,0,0
CDL-AB-0064,The emergency brakes will come on immediately.,0,1
CDL-AB-0064,Either the front or rear brakes will not be fully operational.,1,2
CDL-AB-0065,300 to 350 feet,0,0
CDL-AB-0065,More than 400 feet,1,1
CDL-AB-0065,100 to 250 feet,0,2
CDL-AB-0066,S-cam,0,0
CDL-AB-0066,emergency,1,1
CDL-AB-0066,foot,0,2
CDL-AB-0067,Stop on level ground and apply the parking brakes.,0,0
CDL-AB-0067,"Park on level ground, chock the wheels, and release the parking brakes.",1,1
CDL-AB-0067,Park on level ground and drain off air pressure before adjusting.,0,2
CDL-AB-0068,Reduce your speed and drive to the nearest garage for repairs.,0,0
CDL-AB-0068,Continue at normal speed and find a garage before the brakes lock.,0,1
CDL-AB-0068,Stop. Safely park and continue only after the system is fixed.,1,2
CDL-AB-0069,Check and fill the alcohol level.,1,0
CDL-AB-0069,Change the alcohol from a new bottle.,0,1
CDL-AB-0069,Clean the air filter with alcohol,0,2
CDL-AB-0070,slack adjuster; brake camshaft,1,0
CDL-AB-0070,slack adjuster; tie rod,0,1
CDL-AB-0070,brake camshaft; tie rod,0,2
CDL-AB-0071,When you are testing whether they will hold the vehicle,0,0
CDL-AB-0071,If the brakes are very hot,1,1
CDL-AB-0071,If you're parking for less than one hour,0,2
CDL-AB-0072,"Overheating, low air pressure, and not relying on the engine braking effect",1,0
CDL-AB-0072,Not taking your foot off the accelerator,0,1
CDL-AB-0072,Not pressing the brake pedal hard enough,0,2
CDL-AB-0073,"the ""controlled braking"" method.",0,0
CDL-AB-0073,"the ""stab braking"" method.",0,1
CDL-AB-0073,either of the above.,1,2
CDL-AB-0074,60 to 80 psi.,0,0
CDL-AB-0074,20 to 45 psi.,1,1
CDL-AB-0074,10 to 15 psi.,0,2
CDL-AB-0075,amount of pressure in the brake system.,0,0
CDL-AB-0075,front brakes.,0,1
CDL-AB-0075,spring brakes.,1,2
CDL-AB-0076,1 psi in 30 seconds,0,0
CDL-AB-0076,1 psi in one minute,0,1
CDL-AB-0076,3 psi in one minute,1,2
CDL-AB-0077,Air pressure.,1,0
CDL-AB-0077,Electrical.,0,1
CDL-AB-0077,Mechanical force.,0,2
CDL-AB-0078,1,0,0
CDL-AB-0078,2,1,1
CDL-AB-0078,3,0,2
CDL-AB-0079,At least two air tanks.,0,0
CDL-AB-0079,An air pressure gauge to show the pressure available for braking.,1,1
CDL-AB-0079,An air pressure gauge to show air used by the brake chambers for braking.,0,2
CDL-AB-0080,1/2 inch,0,0
CDL-AB-0080,1 inch,1,1
CDL-AB-0080,1-1/2 inches,0,2
CDL-AB-0081,"With the engine off, step on and off the brake pedal to lower the air pressure below 60 psi.",1,0
CDL-AB-0081,Pump the brakes while your vehicle is fully on.,0,1
CDL-AB-0081,Pump the brakes until the air pressure drops below 30 psi.,0,2
CDL-AB-0081,Manually let the air out of your brakes and see if the signal comes on.,0,3
CDL-AB-0082,Vehicles built after 2005 must have low air pressure warning signals.,0,0
CDL-AB-0082,All vehicles with air brakes currently in operation must have low air pressure warning signals.,1,1
CDL-AB-0082,Vehicles built after 2010 must have low air pressure warning signals.,0,2
CDL-AB-0082,None; low air pressure warning signals are optional.,0,3
CDL-AB-0083,5 mph slower.,1,0
CDL-AB-0083,15 mph slower.,0,1
CDL-AB-0083,10 mph slower.,0,2
CDL-AB-0084,stop on level ground and apply the parking brakes.,0,0
CDL-AB-0084,park on level ground and drain off the air pressure.,0,1
CDL-AB-0084,"park on level ground, chock the wheels, and release the parking brakes.",1,2
CDL-AB-0085,so you can coast downhill.,0,0
CDL-AB-0085,so you only have to apply the brake just hard enough to feel a definite slowdown.,1,1
CDL-AB-0085,so you can go through the gears on the way down.,0,2
CDL-AB-0086,be sure the air brake system is fully pressurized.,0,0
CDL-AB-0086,let the air out of the brake chambers.,1,1
CDL-AB-0086,turn off the engine.,0,2
CDL-AB-0087,between the power screw and push rod on disc brakes.,0,0
CDL-AB-0087,a part of the air brake system that is used to adjust the brakes.,0,1
CDL-AB-0087,between the push rod and S-cam on drum brakes.,0,2
CDL-AB-0087,all of the above.,1,3
CDL-AB-0088,Service brake system,0,0
CDL-AB-0088,Parking brake system,0,1
CDL-AB-0088,Emergency brake system,0,2
CDL-AB-0088,Radio signal system,1,3
CDL-AB-0089,Use different brake drums.,0,0
CDL-AB-0089,Need to have airflow through the lines to work.,1,1
CDL-AB-0089,Require heavier return springs.,0,2
CDL-AB-0090,Whenever the vehicle is parked.,1,0
CDL-AB-0090,To hold your speed when going downhill.,0,1
CDL-AB-0090,Only during pre and post trip inspections.,0,2
CDL-AB-0091,Controls the speed of the air compressor.,0,0
CDL-AB-0091,Is to be used as a footrest during normal driving.,0,1
CDL-AB-0091,Controls the air pressure applied to the brakes.,1,2
CDL-AB-0092,"Stop, safely park, and continue only when the system is fixed.",1,0
CDL-AB-0092,Reduce your speed and test the remaining system while underway.,0,1
CDL-AB-0092,Reduce your speed and drive to the nearest garage for repairs.,0,2
CDL-AB-0093,will close automatically if the air supply drops to a certain level.,0,0
CDL-AB-0093,will close if you apply the parking brakes.,0,1
CDL-AB-0093,provides the air supply for the brake system.,0,2
CDL-AB-0093,does all of the above.,1,3
CDL-AB-0094,Stop.,1,0
CDL-AB-0094,Upshift.,0,1
CDL-AB-0094,Downshift.,0,2
CDL-AB-0095,Only if you are away from your vehicle for an extended period of time,0,0
CDL-AB-0095,"Every time you leave your vehicle, with a few exceptions",1,1
CDL-AB-0095,Only in urban areas where there are many other vehicles,0,2
CDL-AB-0095,Every time you leave your vehicle for any length of time,0,3
CDL-AB-0096,Has been used in this trip.,0,0
CDL-AB-0096,Is in the air tanks.,1,1
CDL-AB-0096,Is being sent to the brake chambers.,0,2
CDL-AB-0097,Slack adjuster,0,0
CDL-AB-0097,Brake drum,0,1
CDL-AB-0097,Return spring,0,2
CDL-AB-0097,Safety valve,1,3
CDL-AB-0098,120,0,0
CDL-AB-0098,150,1,1
CDL-AB-0098,160,0,2
CDL-AB-0099,Use the hand valve and service brakes.,0,0
CDL-AB-0099,Use the stab braking method,1,1
CDL-AB-0099,Use the brakes hard without locking the wheels.,0,2
CDL-AB-0100,"If the air brakes leak down, springs apply the brakes to stop the vehicle.",1,0
CDL-AB-0100,They are the CamLaster brakes.,0,1
CDL-AB-0100,They are the springs on the brake pedal.,0,2
CDL-CV-0001,To park at loading docks,0,0
CDL-CV-0001,To park on a grade,0,1
CDL-CV-0001,Never,1,2
CDL-CV-0002,Service Brake: off; Parking Brake: off; Trailer air supply: in / open; Trolley: applied,1,0
CDL-CV-0002,Service Brake: off; Parking Brake: off; Trailer air supply: in / open; Trolley: released,0,1
CDL-CV-0002,Service Brake: off; Parking Brake: off; Trailer air supply: out; Trolley: applied,0,2
CDL-CV-0002,No answers are correct,0,3
CDL-CV-0003,The kingpin is about 1 1/4 inches above the fifth wheel,0,0
CDL-CV-0003,The end of the kingpin is even with the top of the fifth wheel,0,1
CDL-CV-0003,The trailer will be raised slightly when the tractor is backed under it,1,2
CDL-CV-0004,Put the tractor in gear and pull ahead with a sharp jerk,0,0
CDL-CV-0004,"Pull gently forward in low gear against the locked trailer brakes, then inspect the coupling",1,1
CDL-CV-0004,Rock the trailer back and forth with the trailer brakes locked,0,2
CDL-CV-0005,Service Brake: off; Parking Brake: off; Trailer air supply: in / open; Trolley: released,0,0
CDL-CV-0005,Service Brake: off; Parking Brake: off; Trailer air supply: out; Trolley: released,1,1
CDL-CV-0005,Service Brake: off; Parking Brake: off; Trailer air supply: out; Trolley: applied,0,2
CDL-CV-0005,No answers are correct,0,3
CDL-CV-0006,Emergency trailer brakes to come on,1,0
CDL-CV-0006,Air compressor to unload instead of pumping air,0,1
CDL-CV-0006,Trailer supply valve will open,0,2
CDL-CV-0006,Nothing will happen until air pressure reaches 10 PSI,0,3
CDL-CV-0007,Pushing in the trailer air supply valve,1,0
CDL-CV-0007,Pulling out the trailer air supply valve,0,1
CDL-CV-0007,Connecting the service line glad hand,0,2
CDL-CV-0007,Pulling out the system parking brake,0,3
CDL-CV-0008,Make sure that the brakes are properly adjusted,0,0
CDL-CV-0008,Go slowly around turns,1,1
CDL-CV-0008,Keep the fifth wheel's free play as tight as possible,0,2
CDL-CV-0009,You can set the fifth wheel for weight balance,0,0
CDL-CV-0009,"The parking lock is off, and you may drive away",0,1
CDL-CV-0009,The coupling is not right and should be fixed before driving the coupled unit,1,2
CDL-CV-0010,Trailer landing gear to be fully extended,0,0
CDL-CV-0010,End of the kingpin is even with the top of the fifth wheel,0,1
CDL-CV-0010,Trailer will be lifted slightly when the tractor backs under it,1,2
CDL-CV-0011,make sure the trailer has enough of an air supply for its brakes to hold.,0,0
CDL-CV-0011,call in for any special requests.,0,1
CDL-CV-0011,make sure the ground is solid and can support the weight of the trailer.,1,2
CDL-CV-0012,hang it with the plug up.,0,0
CDL-CV-0012,hang it with the plug down.,1,1
CDL-CV-0012,coil it to keep it out of the way.,0,2
CDL-CV-0013,glad hands,1,0
CDL-CV-0013,lug nuts,0,1
CDL-CV-0013,pins,0,2
CDL-CV-0014,radio in for assistance.,0,0
CDL-CV-0014,get away from your vehicle and call 911 or the posted emergency number.,1,1
CDL-CV-0014,honk your horn loudly and call 911 or the posted emergency number.,0,2
CDL-CV-0015,"the tractor protection valve control (trailer air supply control) will pop out or go from ""normal"" to ""emergency.""",1,0
CDL-CV-0015,the parking brake valve will pop out.,0,1
CDL-CV-0015,the low air pressure warning signal will come on.,0,2
CDL-CV-0016,the brakes on the trailer wheels caused the skid in the first place.,1,0
CDL-CV-0016,the brakes on the trailer wheels will not respond to the hand brake.,0,1
CDL-CV-0016,the brake handle is too hard to reach.,0,2
CDL-CV-0017,you should use the parking brake.,0,0
CDL-CV-0017,of the danger of making the trailer skid.,1,1
CDL-CV-0017,it won't work as well as the foot brake.,0,2
CDL-CV-0018,empty.,1,0
CDL-CV-0018,overloaded.,0,1
CDL-CV-0018,loaded to full capacity.,0,2
CDL-CV-0019,always approach the trailer at a slight angle.,0,0
CDL-CV-0019,always use the lowest reverse gear.,1,1
CDL-CV-0019,do it quickly to ensure that the kingpin is locked into the fifth wheel.,0,2
CDL-CV-0020,hear the wheels skidding.,0,0
CDL-CV-0020,"feel for ""pulling"" in the cab.",0,1
CDL-CV-0020,see it in your mirrors.,1,2
CDL-CV-0021,It is a device used to keep the trailer behind the tractor.,0,0
CDL-CV-0021,It is a six-sided yellow knob used to control the tractor protection valve.,0,1
CDL-CV-0021,"It is used to supply the trailer with air, shut the air off, and apply the trailer emergency brakes.",1,2
CDL-CV-0022,It will keep dirt and water out of the lines.,1,0
CDL-CV-0022,"If you don't, you will never build system pressure.",0,1
CDL-CV-0022,The connected brake circuit becomes a backup air tank.,0,2
CDL-CV-0023,Up,0,0
CDL-CV-0023,Down,0,1
CDL-CV-0023,Normal,1,2
CDL-CV-0024,two times more likely to roll over in a crash than empty rigs.,0,0
CDL-CV-0024,five times more likely to roll over in a crash than empty rigs.,0,1
CDL-CV-0024,ten times more likely to roll over in a crash than empty rigs.,1,2
CDL-CV-0025,release the brakes.,1,0
CDL-CV-0025,use the trailer hand brakes.,0,1
CDL-CV-0025,Counter steer.,0,2
CDL-CV-0026,Turning on the parking brakes from the cab.,0,0
CDL-CV-0026,Applying and releasing the trailer brakes and listening for brake sounds.,1,1
CDL-CV-0026,Lifting the brake pedal.,0,2
CDL-CV-0027,1,0,0
CDL-CV-0027,2,0,1
CDL-CV-0027,3,1,2
CDL-CV-0028,The emergency tractor brakes will come on,0,0
CDL-CV-0028,The trailer's air tank will exhaust through the open line,0,1
CDL-CV-0028,Nothing is likely to happen until you try to apply the brakes,1,2
CDL-CV-0029,"Supply air to the trailer system, then pull out the trailer air supply knob to lock the trailer brakes",1,0
CDL-CV-0029,Make sure that the trailer brakes are off,0,1
CDL-CV-0029,Apply the service brakes twice to alert others,0,2
CDL-CV-0030,Raised half way with the crank handle removed,0,0
CDL-CV-0030,Fully raised with the crank handle secured in its bracket,1,1
CDL-CV-0030,Three turns off the top with the crank handle secured in its bracket,0,2
CDL-CV-0031,"If the trailer has no spring brakes, you can drive away, but you will not have trailer brakes",1,0
CDL-CV-0031,The hand valve will apply the tractor brakes instead of the trailer brakes,0,1
CDL-CV-0031,The brake pedal will work the trailer spring brakes instead of the air brakes,0,2
CDL-CV-0032,To ensure good electrical connections,0,0
CDL-CV-0032,To prevent steering problems,1,1
CDL-CV-0032,To reduce heat and noise,0,2
CDL-CV-0033,spread evenly across the trailer(s) and as low as possible.,1,0
CDL-CV-0033,stacked closest to the doors.,0,1
CDL-CV-0033,stacked as close to the front of the rig as possible.,0,2
CDL-CV-0034,With the tractor frame under the trailer,1,0
CDL-CV-0034,With the fifth wheel directly beneath the kingpin,0,1
CDL-CV-0034,Completely cleared from the trailer,0,2
CDL-CV-0035,whether it is on the tractor or the trailers.,1,0
CDL-CV-0035,only if it is on the tractor and all trailers.,0,1
CDL-CV-0035,only if it is on the tractor.,0,2
CDL-CV-0036,"if the air supply leaks away, there will be no brakes.",1,0
CDL-CV-0036,you don't want the trailer rolling down a hill.,0,1
CDL-CV-0036,some states require chocking of trailer wheels.,0,2
CDL-CV-0037,closed,0,0
CDL-CV-0037,open,1,1
CDL-CV-0037,neutral,0,2
CDL-CV-0038,When you lock up the drive tires on the tractor and the tractor spins out sideways as the trailer continues to push forward,1,0
CDL-CV-0038,When you lock up the drive tires on the trailer and the trailer spins out sideways as the tractor continues to push forward,0,1
CDL-CV-0038,Neither of the above,0,2
CDL-CV-0039,Neutral,1,0
CDL-CV-0039,High reverse,0,1
CDL-CV-0039,Low reverse,0,2
CDL-CV-0040,2,0,0
CDL-CV-0040,3,0,1
CDL-CV-0040,4,1,2
CDL-CV-0041,The connected brake circuit becomes a backup air tank,0,0
CDL-CV-0041,It will keep dirt and water out of the lines,1,1
CDL-CV-0041,"If you did not, you could never build system pressure",0,2
CDL-CV-0042,The tractor to lose all air pressure,0,0
CDL-CV-0042,The tractor protection valve to close,1,1
CDL-CV-0042,The trailer supply valve to stay open,0,2
CDL-CV-0042,System parking brake will close,0,3
CDL-CV-0043,Only with the foot brake,0,0
CDL-CV-0043,To test the trailer brakes,1,1
CDL-CV-0043,Only when the trailer is fully loaded,0,2
CDL-CV-0044,there is less traction.,1,0
CDL-CV-0044,you're unlikely to brake as hard.,0,1
CDL-CV-0044,the center of gravity is lower.,0,2
CDL-CV-0045,turn the crank a few more times until the trailer is lifted off the fifth wheel.,0,0
CDL-CV-0045,turn the crank a few more times to lift some weight off the tractor.,1,1
CDL-CV-0045,secure the crank handle safely.,0,2
CDL-CV-0046,75 to 100 psi.,0,0
CDL-CV-0046,50 to 75 psi.,0,1
CDL-CV-0046,20 to 45 psi.,1,2
CDL-CV-0047,check the electrical cables.,0,0
CDL-CV-0047,cross the air lines.,0,1
CDL-CV-0047,check the air line connections.,1,2
CDL-CV-0048,easier it is to turn over.,1,0
CDL-CV-0048,easier it is to turn around corners.,0,1
CDL-CV-0048,more stable it is when turning.,0,2
CDL-CV-0049,emergency,1,0
CDL-CV-0049,normal,0,1
CDL-CV-0049,neutral,0,2
CDL-CV-0050,level with the ground.,0,0
CDL-CV-0050,tilted down toward the rear of the tractor.,1,1
CDL-CV-0050,tilted up toward the rear of the tractor.,0,2
CDL-CV-0051,There is enough clearance between the tops of the tractor tires and the nose of the trailer,0,0
CDL-CV-0051,There is enough clearance between the tractor frame and the landing gear,0,1
CDL-CV-0051,Both answers are correct,1,2
CDL-CV-0052,The electrical service cable,0,0
CDL-CV-0052,The emergency and service air lines,1,1
CDL-CV-0052,Nothing; back up and lock the fifth wheel,0,2
CDL-CV-0053,Trailer brakes are locked,1,0
CDL-CV-0053,Tractor protection valve is normal,0,1
CDL-CV-0053,Air brakes are off,0,2
CDL-CV-0054,The rear wheels of the last trailer,1,0
CDL-CV-0054,The rear wheels of the first trailer,0,1
CDL-CV-0054,The rear wheels of the tractor,0,2
CDL-CV-0055,"The trailer is half full, and the cargo is loaded in the front of the trailer. When making a sudden movement of the steering wheel, the cargo will tend to forcefully slide to the back of the trailer, forcing the trailer to roll over.",0,0
CDL-CV-0055,"When making a quick lane change or sudden movement of the steering wheel, the tractor tends to rock and sway. The velocity of the rearmost trailer forces the tractor to roll over before the trailer.",0,1
