external_id,license_code,state_code,category_code,text,explanation,image_name,difficulty,lang
CDL-AB-0039,cdl,,air_brakes,Spring brakes are,"Spring brakes are an important backup system: powerful springs that automatically apply the brakes if they sense that air pressure has been lost for some reason, such as a leak. They will also apply the brakes if the psi gets too low, although ideally, you should take control of your brakes before that happens.",,1,en
CDL-AB-0040,cdl,,air_brakes,"In the event of a brake system failure, the emergency brake system uses __________ to stop the vehicle.",The emergency brake system uses parts of the service and parking brake systems to stop the vehicle in a brake system failure.,,1,en
CDL-AB-0041,cdl,,air_brakes,Repeatedly pressing and releasing (fanning) the brake pedal may result in,"Each time you release the brakes, some compressed air leaves the system and must be replenished by the air compressor. If you keep pressing and releasing the brake pedal, air may leave the system faster than the air compressor can replenish it, and the air pressure may drop to the point that the brakes won't work.",,1,en
CDL-AB-0042,cdl,,air_brakes,"If the spring brakes are on, when should you push the brake pedal?","Never push the brake pedal down when the spring brakes are on. If you do, the brakes could be damaged by the combined forces of the springs and the air pressure.",,1,en
CDL-AB-0043,cdl,,air_brakes,You'll know that your brakes are fading if,"As the overheated drums expand, the brake shoes and linings have to move farther to contact the drums, and the force of this contact is reduced. So, you will be pressing harder on the pedal.",,1,en
CDL-AB-0044,cdl,,air_brakes,A converter dolly with antilock brakes (ABS) is required to have,"Converter dollies built on or after March 1, 1998, are required to have antilock brakes. These dollies will have a yellow lamp on the left side of the dolly.",,1,en
CDL-AB-0045,cdl,,air_brakes,Which of the following is the most important thing about hard braking?,"Emergency braking does not mean pushing down on the brake pedal as hard as you can. That will only keep the wheels locked up and cause a skid. If the wheels are skidding, you cannot control the vehicle.",,1,en
CDL-AB-0046,cdl,,air_brakes,"In controlled braking, you","You apply the brakes as hard as you can without locking the wheels. Keep steering wheel movements very small while doing this. If you need to make a larger steering adjustment or if the wheels lock, release the brakes. Re-apply the brakes as soon as you can.",,1,en
CDL-AB-0047,cdl,,air_brakes,"If oil and water collects in the air tanks, what could happen to the brakes?","Compressed air usually has some water and some compressor oil in it, which is bad for the air brake system. For example, the water can freeze in cold weather and cause brake failure.",,1,en
CDL-AB-0048,cdl,,air_brakes,"S-cam drum brakes have an S-cam in each brake chamber. Why is it called an ""S-cam?""",The S-cam is S-shaped. The s-cam forces the brake shoes away from one another and presses them against the inside of the brake drum.,,1,en
CDL-AB-0049,cdl,,air_brakes,"To test the air service brakes,","Pull forward at 5 mph, apply the service brake and stop. Check to see that the vehicle does not pull to either side and that it stops when brake is applied.",,1,en
CDL-AB-0050,cdl,,air_brakes,When can you leave your truck unattended without first applying the parking brakes or chocking the wheels?,Never leave your vehicle unattended without applying the parking brakes or chocking the wheels. Your vehicle might roll away and cause injury and damage.,,1,en
CDL-AB-0051,cdl,,air_brakes,If your truck or bus has dual parking control valves it means that you can use pressure from a separate tank to:,"When main air pressure is lost, the spring brakes come on. Some vehicles have a separate air tank which can be used to release the spring brakes. This is so you can move the vehicle in an emergency.",,1,en
CDL-AB-0052,cdl,,air_brakes,The brake pads should be _____ for the brakes to be on?,"To stop, the brake shoes and linings are pushed against the inside of the drum. This causes friction, which slows the vehicle.",,1,en
CDL-AB-0053,cdl,,air_brakes,You should know that your brakes are fading when:,Increasing application pressure to hold the same speed means the brakes are fading.,,1,en
CDL-AB-0054,cdl,,air_brakes,The application pressure gauge shows the driver how much pressure:,Application Pressure Gauge shows how much air pressure you are applying to the brakes.,,1,en
CDL-AB-0055,cdl,,air_brakes,"If the air compressor should develop a leak, what keeps the air in the tanks?","Installed on the compressor side of the air tank is a one-way check valve, it allows air into the tanks, but does not allow it to flow back to the compressor.",,1,en
CDL-AB-0056,cdl,,air_brakes,Why drain water from the compressed air tanks?,"Compressed air usually has some water and some compressor oil in it, which is bad for the air brake system, the water can freeze in cold weather and cause brake failure. The water and oil tend to collect in the bottom of the air tank. Be sure that you drain the air tanks completely.",,1,en
CDL-AB-0057,cdl,,air_brakes,"During normal driving, spring brakes are usually held back by:","When driving, powerful springs are held back by air pressure. If the air pressure is removed, the springs put on the brakes.",,1,en
CDL-AB-0058,cdl,,air_brakes,Brake drums must not have cracks longer than _____ the width of the friction area?,Brake drums or discs must not have cracks longer than one half the width of the friction area.,,1,en
CDL-AB-0059,cdl,,air_brakes,"After the initial drop, the maximum acceptable leakage rates per minute are","With a fully-charged air system typically 125 psi, turn off the engine, release the parking brake; and time the air pressure drop. The loss rate should be less than two psi in one minute for single vehicles brakes released and three with the brakes applied, and less than three psi in one minute for combination vehicles with the brakes released and four with the brakes applied.",,1,en
CDL-AB-0060,cdl,,air_brakes,"How do brakes work on a long, steep downgrade?",The use of brakes on a long and/or steep downgrade is only a supplement to the braking effect of the engine.,,1,en
CDL-AB-0061,cdl,,air_brakes,How would you check your truck's slack adjusters?,"Use gloves and pull hard on each slack adjuster that you can reach. If a slack adjuster moves more than about one inch where the push rod attaches to it, it probably needs adjustment.",,1,en
CDL-AB-0062,cdl,,air_brakes,The parking brake control,A parking brake control in the cab allows the driver to let the air out of the spring brakes. This lets the springs put the brakes on.,,1,en
CDL-AB-0063,cdl,,air_brakes,"If the low air pressure warning signal is not working,","If the warning signal doesn't work, you could lose air pressure and you would not know it. This could cause sudden emergency braking in a single-circuit air system. In dual systems the stopping distance will be increased. Only limited braking can be done before the spring brakes come on.",,1,en
CDL-AB-0064,cdl,,air_brakes,Your vehicle has a dual air brake system. One of the systems loses air pressure. What will happen?,"A dual air brake system has two separate air brake systems, which use a single set of brake controls. Each system has its own air tanks, hoses, lines, etc. One system typically operates the regular brakes on the rear axle or axles. The other system operates the regular brakes on the front axle and possibly one rear axle.",,1,en
CDL-AB-0065,cdl,,air_brakes,"Under ideal conditions, the average driver of a truck or bus equipped with air brakes and traveling at 55 mph would require what stopping distance?","The total minimum distance your vehicle has traveled, in ideal conditions; with everything considered, including perception distance, reaction distance and braking distance, until you can bring your vehicle to a complete stop. At 55 mph, your vehicle will travel about 450 feet.",,1,en
CDL-AB-0066,cdl,,air_brakes,"Modern air brake systems are three different systems combined: the service brakes, parking brakes, and _______ brakes.","Air brakes are really three different braking systems: service brake, parking brake, and emergency brake.",,1,en
CDL-AB-0067,cdl,,air_brakes,To check the free play of manual slack adjusters on S-cam brakes you should:,"For manual slack adjustors, the brake pushrod should not move more than one inch, with the brakes released, when pulled by hand.",,1,en
CDL-AB-0068,cdl,,air_brakes,"Your truck or bus has a dual air brake system. If a low air pressure warning comes on for only one system, what should you do?","The warning light and buzzer should come on before the air pressure drops below 60 psi in either system. If this happens while driving, you should stop right away and safely park the vehicle. If one air system is very low on pressure, either the front or the rear brakes will not be operating fully. This means it will take you longer to stop. Bring the vehicle to a safe stop and have the air brakes system fixed.",,1,en
CDL-AB-0069,cdl,,air_brakes,"If your vehicle has an alcohol evaporator, every day during cold weather you should:","Check the alcohol container and fill up as necessary, every day during cold weather.",,1,en
CDL-AB-0070,cdl,,air_brakes,"With S-cam drum brakes, when the brake chamber fills with air, air pressure pushes the push rod out, moving the ________ and thus rotating the ________.","In S-cam brakes when you push the brake pedal, air is let into each brake chamber. Air pressure pushes the rod out, moving the slack adjuster, thus twisting the brake camshaft. This turns the s-cam. The s-cam forces the brake shoes away from one another and presses them against the inside of the brake drum.",,1,en
CDL-AB-0071,cdl,,air_brakes,In which of the following situations should you NOT apply the parking brakes?,"Don't use the parking brakes if the brakes are very hot (from just having come down a steep grade), or if the brakes are very wet in freezing temperatures. If they are used while they are very hot, they can be damaged by the heat. If they are used in freezing temperatures when the brakes are very wet, they can freeze so the vehicle cannot move. Use wheel chocks instead.",,1,en
CDL-AB-0072,cdl,,air_brakes,Which of the following can cause brakes to fail or fade?,"Brakes can fade or fail from excessive heat caused by using them too much and not relying on the engine braking effect, they are also affected by adjustment, and low air pressure.",,1,en
CDL-AB-0073,cdl,,air_brakes,"If you need to stop quickly and your vehicle lacks antilock brakes, you can use","You should brake in a way that will keep your vehicle in a straight line and allow you to turn if it becomes necessary. You can use the ""controlled braking"" method or the ""stab braking"" method.",,1,en
CDL-AB-0074,cdl,,air_brakes,Tractor and straight truck spring brakes will come fully on when the air pressure drops to a range of,Tractor and straight truck spring brakes will come fully on when air pressure drops to a range of 20 to 45 psi (typically 20 to 30 psi).,,1,en
CDL-AB-0075,cdl,,air_brakes,The modulating control valve allows you to control the,"In some vehicles a control handle on the dash board may be used to apply the spring brakes gradually. This is called a modulating valve. It is spring-loaded, so you have a feel for the braking action. The more you move the control lever, the harder the spring brakes come on.",,1,en
CDL-AB-0076,cdl,,air_brakes,Air loss in a straight truck or bus should not be more than _____ with the engine off and the brakes applied.,"With a fully-charged air system, turn off the engine, release the parking brake, and time the air pressure drop. The loss rate should be less than two psi in one minute for single vehicle brakes released, and three with the brakes applied.",,1,en
CDL-AB-0077,cdl,,air_brakes,What activates the stop switch?,Drivers behind you must be warned when you put your brakes on. The air brake system does this with an electric switch that works by air pressure. The switch turns on the brake lights when you put on the air brakes.,,1,en
CDL-AB-0078,cdl,,air_brakes,A straight truck or bus air brake system should not leak at a rate of more than ____ psi per minute with the engine off and the brakes released.,"With a fully-charged air system, turn off the engine, release the parking brake, and time the air pressure drop. The loss rate should be less than two psi in one minute for single vehicle brakes released, and three with the brakes applied.",,1,en
CDL-AB-0079,cdl,,air_brakes,Vehicles with air brakes must have:,"All vehicles with air brakes have a pressure gauge connected to the air tank. If the vehicle has a dual air brake system, there will be a gauge for each half of the system.",,1,en
CDL-AB-0080,cdl,,air_brakes,Slack adjusters should not have any more than _____ of play?,"Park on level ground and chock the wheels to prevent the vehicle from moving, release the parking brakes so you can move the slack adjusters, using gloves and pull hard on each slack adjuster that you can reach, and if a slack adjuster moves more than about one inch where the push rod attaches to it then adjustments are needed.",,1,en
CDL-AB-0081,cdl,,air_brakes,What is the best way to test your vehicle's low air pressure warning signal?,Shut the engine off when you have enough air pressure so that the low-pressure warning signal is not on. Turn the electrical power on and step on and off the brake pedal to reduce air tank pressure. The low air pressure warning signal must come on before the pressure drops to less than 60 psi in the air tank.,,1,en
CDL-AB-0082,cdl,,air_brakes,Which vehicles must have low air pressure warning signals?,A low air pressure warning signal is required on vehicles with air brakes.,,1,en
CDL-AB-0083,cdl,,air_brakes,"On a long or steep downgrade, once you have reached your ""safe"" speed, brake until you are traveling","Snub braking method is used for steep downhill grades, in this method apply the brakes just hard enough to feel a definite slowdown. When your speed has been reduced to approximately five mph below your ""safe"" speed, release the brakes. When your speed has increased to your ""safe"" speed, repeat.",,1,en
CDL-AB-0084,cdl,,air_brakes,"To check the slack adjusters on S-cam drum brakes, you should first",To check slack adjusters on S-cam Brakes. Park on level ground and chock the wheels to prevent the vehicle from moving and release the parking brake.,,1,en
CDL-AB-0085,cdl,,air_brakes,"Before starting down a hill, you should be in the proper gear",The use of brakes on a long and/or steep downgrade is only a supplement to the braking effect of the engine. Once the vehicle is in the proper low gear you should only have to apply the brakes just hard enough to feel a definite slowdown.,,1,en
CDL-AB-0086,cdl,,air_brakes,"To apply the parking brakes under normal conditions,",A parking brake control in the cab allows the driver to let the air out of the spring brakes. This lets the springs put the brakes on.,,1,en
CDL-AB-0087,cdl,,air_brakes,Slack adjusters are,"Slack adjusters are an important part of your air brake system that allows you to adjust the brakes to ensure that they are safe. They are located in different places, depending on the type of brakes that you have.",,1,en
CDL-AB-0088,cdl,,air_brakes,Which of the following is NOT part of the air brake system?,"Air brakes are really three different braking systems: service brake, parking brake, and emergency brake.",,1,en
CDL-AB-0089,cdl,,air_brakes,Air braking takes more time than hydraulic braking because air brakes:,With air brakes there is an added delay called Brake Lag. This is the time required for the brakes to work after the brake pedal is pushed.,,1,en
CDL-AB-0090,cdl,,air_brakes,"In air brake vehicles, the parking brakes should be used:","Any time you park use the parking brakes. Pull the parking brake control knob out to apply the parking brakes, push it in to release.",,1,en
CDL-AB-0091,cdl,,air_brakes,The brake pedal in an air brake system:,You put on the brakes by pushing down the brake pedal. Pushing the pedal down harder applies more air pressure. Letting up on the brake pedal reduces the air pressure and releases the brakes.,,1,en
CDL-AB-0092,cdl,,air_brakes,"Your vehicle has a dual air brake system, if a low air pressure warning comes on for the secondary system, you should?","Even if the low-pressure alarm is for the secondary system you need to stop at a safe location, park, and get the issue fixed. It is unsafe for the vehicle to remain in motion with a low air alarm.",,1,en
CDL-AB-0093,cdl,,air_brakes,The tractor protection valve,"The tractor protection valve keeps air in the tractor or truck brake system should the trailer break away or develop a bad leak, and it will close automatically if air pressure is low (typically 20-45 psi).",,1,en
CDL-AB-0094,cdl,,air_brakes,What is the first thing you should do if the low air pressure warning comes on?,"If the low air pressure warning comes on, stop and safely park your vehicle as soon as possible.",,1,en
CDL-AB-0095,cdl,,air_brakes,When should you use the parking brake?,"Never leave your vehicle unattended without applying the parking brakes or chocking the wheels. Your vehicle might roll away and cause injury and damage. Exceptions are when the brakes are very hot, or wet and it is very cold outside. In this case use wheel chocks.",,1,en
CDL-AB-0096,cdl,,air_brakes,The supply pressure gauge shows the driver how much pressure:,"All vehicles with air brakes have a pressure gauge connected to the air tank, and it tells you how much pressure is in the air tanks.",,1,en
CDL-AB-0097,cdl,,air_brakes,Which of the following is NOT part of the drum brake?,"Drum brakes are on each of your vehicle's axles and contain about 10 different parts, including the axle, slack adjuster, and brake drum itself. While a safety valve is part of the air brake system, it is not part of the drum brake.",,1,en
CDL-AB-0098,cdl,,air_brakes,The safety release valve will blow at _____ psi?,"A safety relief valve is installed in the first tank the air compressor pumps air to. The safety valve protects the tank and the rest of the system from too much pressure. The valve is usually set to open at 150 psi. If the safety valve releases air, something is wrong. Have the fault fixed by a mechanic.",,1,en
CDL-AB-0099,cdl,,air_brakes,In an emergency stop you should?,"Stab braking means that you: apply your brakes all the way, and release brakes when wheels lock up. As soon as the wheels start rolling, apply the brakes fully again.",,1,en
CDL-AB-0100,cdl,,air_brakes,What are spring brakes?,"When driving, powerful springs are held back by air pressure. If the air pressure is removed, the springs put on the brakes. A leak in the air brake system, which causes all the air to be lost, will also cause the springs to put on the brakes.",,1,en
CDL-CV-0001,cdl,,combination_vehicles,When should you use the hand valve to park a combination vehicle?,"The trailer hand valve, also called the trolley valve or Johnson bar, works the trailer brakes. The trailer hand valve should be used only to test the trailer brakes. Never use the hand valve for parking because all the air might leak out unlocking the brakes.",,1,en
CDL-CV-0002,cdl,,combination_vehicles,Which answer is correct for the air valves when testing the trailer service brakes only?,"Check for normal air pressure, release the parking brakes, release the service brake, make sure the trailer air supply is in / open, move the vehicle forward slowly, and apply trailer brakes with the hand control or trolley valve. You should feel the brakes come on. This tells you the trailer brakes are connected and working.",,1,en
CDL-CV-0003,cdl,,combination_vehicles,You are coupling a semi-trailer to your tractor but have not yet backed under. The trailer is at the right height when:,"The trailer should be low enough that it is raised slightly by the tractor when the tractor is backed under it. Raise or lower the trailer as needed. If the trailer is too low, the tractor may strike and damage the trailer nose; if the trailer is too high, it may not couple correctly.",,1,en
CDL-CV-0004,cdl,,combination_vehicles,How should you test the tractor trailer connection for security?,Raise trailer landing gear slightly off ground. Pull tractor gently forward while the trailer brakes are still locked to check that the trailer is locked onto the tractor.,,1,en
CDL-CV-0005,cdl,,combination_vehicles,Which answer is correct for the air valves when testing the trailer spring / parking brakes only?,"To test the trailer spring brakes, you need to have the service brake off or released, parking brake off, trailer air supply out shutting the door to the trailer, and trolley released.",,1,en
CDL-CV-0006,cdl,,combination_vehicles,Your emergency air line breaks or gets pulled apart while you are driving. The loss of pressure will cause the:,A major leak in the emergency line will cause the tractor protection valve to close and the trailer emergency brakes to come on. But the brakes will hold only if there is air pressure in the trailer air tank.,,1,en
CDL-CV-0007,cdl,,combination_vehicles,You supply air to the trailer tanks by:,"From cab, push in air supply knob or move tractor protection valve control from the emergency to the normal position to supply air to the trailer brake system.",,1,en
CDL-CV-0008,cdl,,combination_vehicles,There are two things that a driver can do to prevent a roll over. They are: (1) keep the cargo as close to the ground as possible; and (2):,The following two things will help you prevent rollover--keep the cargo as close to the ground as possible and drive slowly around turns.,,1,en
CDL-CV-0009,cdl,,combination_vehicles,The fifth wheel locking lever is not locked after the jaws close around the kingpin; this means:,Check that the locking lever is in the lock position. If the locking lever does not go into the locked position the coupling is not complete.,,1,en
CDL-CV-0010,cdl,,combination_vehicles,"When backing your tractor under a trailer, you should expect:","The trailer should be low enough that it is raised slightly by the tractor when the tractor is backed under it. If the trailer is too low, the tractor may strike and damage the trailer nose; if the trailer is too high, it may not couple correctly.",,1,en
CDL-CV-0011,cdl,,combination_vehicles,"Before you start to uncouple, you must",Make sure surface of parking area can support weight of trailer.,,1,en
CDL-CV-0012,cdl,,combination_vehicles,"During uncoupling, you should disconnect the electrical cable and",Hang electrical cable with plug down to prevent moisture from entering it.,,1,en
CDL-CV-0013,cdl,,combination_vehicles,"As part of your vehicle inspection test, if your vehicle is equipped with air brakes and has a trailer, you will inspect the air connections between the truck or tractor and the trailer. Make sure that the ________ are locked in place and free of damage or air leaks.",Glad hands are coupling devices used to connect the service and emergency air-lines from the truck or tractor to the trailer.,,1,en
CDL-CV-0014,cdl,,combination_vehicles,"If your vehicle gets stuck on a railroad track, you should","If for any reason you get stuck on the tracks, get out of the vehicle and away from the tracks. Check signposts or signal housing at the crossing for emergency notification information. Call 911 or another emergency number. Give the location of the crossing using all identifiable landmarks, especially the DOT number, if posted.",,1,en
CDL-CV-0015,cdl,,combination_vehicles,"If your test of the tractor protection valve is successful,","The tractor protection valve keeps air in the tractor or truck brake system should the trailer break away or develop a bad leak. The tractor protection valve is controlled by the ""trailer air supply"" control valve in the cab. The control valve allows you to open and shut the tractor protection valve. The tractor protection valve will close automatically if air pressure is low (in the range of 20 to 45 psi). When the tractor protection valve closes, it stops any air from going out of the tractor.",,1,en
CDL-CV-0016,cdl,,combination_vehicles,"You should not use the trailer hand brake to straighten out a jackknifing trailer, because","When the wheels of a trailer lock up, the trailer will tend to swing around. This is more likely to happen when the trailer is empty or lightly loaded. This type of jackknife is often called a ""trailer jackknife."" Applying the trailer brakes would extend the skid and trailer jackknife.",,1,en
CDL-CV-0017,cdl,,combination_vehicles,You should not use the trailer hand valve while driving because,Do not use it in driving because of the danger of making the trailer skid.,,1,en
CDL-CV-0018,cdl,,combination_vehicles,A trailer is most likely to jackknife when it is,"Large combination vehicles take longer to stop when they are empty than when they are fully loaded. When empty, the very stiff suspension springs and strong brakes give poor traction and make it very easy to lock up the wheels causing the tractor to jackknife.",,1,en
CDL-CV-0019,cdl,,combination_vehicles,"When backing a tractor under a trailer, you should","Use lowest reverse gear. Back tractor slowly under trailer to avoid hitting the kingpin too hard, and stop when the kingpin is locked into the fifth wheel.",,1,en
CDL-CV-0020,cdl,,combination_vehicles,The best way to tell if your trailer has started to skid is to,The earliest way to notice that your trailer is jackknifing is to see it swinging out in your mirrors.,,1,en
CDL-CV-0021,cdl,,combination_vehicles,Describe what the trailer air supply control does.,"The trailer air supply control on newer vehicles is a red eight-sided knob, which you use to control the tractor protection valve. You push it in to supply the trailer with air, and pull it out to shut the air off and put on the trailer emergency brakes.",,1,en
CDL-CV-0022,cdl,,combination_vehicles,"If your vehicle is equipped with dummy couplers, why should you connect the glad hands to them?","Some vehicles have ""dead end"" or dummy couplers to which the hoses may be attached when they are not in use. This will prevent water and dirt from getting into the coupler and the air-lines.",,1,en
